Country,Date,UV
ALB,2020-01-02,0.0285
ALB,2020-01-03,0.0276
ALB,2020-01-04,0.0234
ALB,2020-01-05,0.0204
ALB,2020-01-06,0.0264
ALB,2020-01-07,0.0266
ALB,2020-01-08,0.0278
ALB,2020-01-09,0.0308
ALB,2020-01-10,0.0318
ALB,2020-01-11,0.0181
ALB,2020-01-12,0.0092
ALB,2020-01-13,0.03
ALB,2020-01-14,0.034
ALB,2020-01-15,0.0325
ALB,2020-01-16,0.0342
ALB,2020-01-17,0.0352
ALB,2020-01-18,0.0304
ALB,2020-01-19,0.0187
ALB,2020-01-20,0.0305
ALB,2020-01-21,0.0331
ALB,2020-01-22,0.0374
ALB,2020-01-23,0.0348
ALB,2020-01-24,0.0426
ALB,2020-01-25,0.022000000000000002
ALB,2020-01-26,0.0322
ALB,2020-01-27,0.0103
ALB,2020-01-28,0.0164
ALB,2020-01-29,0.0138
ALB,2020-01-30,0.0319
ALB,2020-01-31,0.0488
ALB,2020-02-01,0.0534
ALB,2020-02-02,0.0403
ALB,2020-02-03,0.0381
ALB,2020-02-04,0.0483
ALB,2020-02-05,0.0266
ALB,2020-02-06,0.0421
ALB,2020-02-07,0.0523
ALB,2020-02-08,0.055999999999999994
ALB,2020-02-09,0.0561
ALB,2020-02-10,0.04
ALB,2020-02-11,0.0304
ALB,2020-02-12,0.0437
ALB,2020-02-13,0.0614
ALB,2020-02-14,0.0199
ALB,2020-02-15,0.0643
ALB,2020-02-16,0.0642
ALB,2020-02-17,0.0684
ALB,2020-02-18,0.0706
ALB,2020-02-19,0.0483
ALB,2020-02-20,0.038
ALB,2020-02-21,0.0743
ALB,2020-02-22,0.0678
ALB,2020-02-23,0.0737
ALB,2020-02-24,0.0743
ALB,2020-02-25,0.0772
ALB,2020-02-26,0.0616
ALB,2020-02-27,0.019
ALB,2020-02-28,0.0187
ALB,2020-02-29,0.1023
ALB,2020-03-01,0.0824
ALB,2020-03-02,0.0709
ALB,2020-03-03,0.0315
ALB,2020-03-04,0.0294
ALB,2020-03-05,0.0689
ALB,2020-03-06,0.0496
ALB,2020-03-07,0.0473
ALB,2020-03-08,0.0622
ALB,2020-03-09,0.0477
ALB,2020-03-10,0.06
ALB,2020-03-11,0.0706
ALB,2020-03-12,0.1098
ALB,2020-03-13,0.1081
ALB,2020-03-14,0.0999
ALB,2020-03-15,0.0573
ALB,2020-03-16,0.1036
ALB,2020-03-17,0.1089
ALB,2020-03-18,0.0955
ALB,2020-03-19,0.1004
ALB,2020-03-20,0.1068
ALB,2020-03-21,0.11310000000000002
ALB,2020-03-22,0.0784
ALB,2020-03-23,0.0208
ALB,2020-03-24,0.0916
ALB,2020-03-25,0.0767
ALB,2020-03-26,0.0777
ALB,2020-03-27,0.0314
ALB,2020-03-28,0.0614
ALB,2020-03-29,0.0759
ALB,2020-03-30,0.0945
ALB,2020-03-31,0.0721
ALB,2020-04-01,0.0139
ALB,2020-04-02,0.11599999999999999
ALB,2020-04-03,0.1079
ALB,2020-04-04,0.1004
ALB,2020-04-05,0.0823
ALB,2020-04-06,0.0927
ALB,2020-04-07,0.1436
ALB,2020-04-08,0.1474
ALB,2020-04-09,0.153
ALB,2020-04-10,0.1399
ALB,2020-04-11,0.1439
ALB,2020-04-12,0.12300000000000001
ALB,2020-04-13,0.14400000000000002
ALB,2020-04-14,0.0538
ALB,2020-04-15,0.1214
ALB,2020-04-16,0.1528
ALB,2020-04-17,0.1554
ALB,2020-04-18,0.151
ALB,2020-04-19,0.1393
DZA,2019-12-01,0.1088
DZA,2019-12-02,0.1049
DZA,2019-12-03,0.0937
DZA,2019-12-04,0.1006
DZA,2019-12-05,0.1001
DZA,2019-12-06,0.0926
DZA,2019-12-07,0.0652
DZA,2019-12-08,0.084
DZA,2019-12-09,0.0927
DZA,2019-12-10,0.0868
DZA,2019-12-11,0.1007
DZA,2019-12-12,0.0987
DZA,2019-12-13,0.0971
DZA,2019-12-14,0.0921
DZA,2019-12-15,0.0937
DZA,2019-12-16,0.0943
DZA,2019-12-17,0.0724
DZA,2019-12-18,0.0917
DZA,2019-12-19,0.0985
DZA,2019-12-20,0.0975
DZA,2019-12-21,0.1093
DZA,2019-12-22,0.1136
DZA,2019-12-23,0.105
DZA,2019-12-24,0.095
DZA,2019-12-25,0.0958
DZA,2019-12-26,0.1033
DZA,2019-12-27,0.0998
DZA,2019-12-28,0.0912
DZA,2019-12-29,0.0861
DZA,2019-12-30,0.0844
DZA,2019-12-31,0.0915
DZA,2020-01-01,0.0959
DZA,2020-01-02,0.1011
DZA,2020-01-03,0.0995
DZA,2020-01-04,0.0954
DZA,2020-01-05,0.1073
DZA,2020-01-06,0.095
DZA,2020-01-07,0.0784
DZA,2020-01-08,0.0914
DZA,2020-01-09,0.1019
DZA,2020-01-10,0.0938
DZA,2020-01-11,0.0873
DZA,2020-01-12,0.0758
DZA,2020-01-13,0.0989
DZA,2020-01-14,0.1137
DZA,2020-01-15,0.0828
DZA,2020-01-16,0.0491
DZA,2020-01-17,0.0999
DZA,2020-01-18,0.1076
DZA,2020-01-19,0.1191
DZA,2020-01-20,0.0954
DZA,2020-01-21,0.0932
DZA,2020-01-22,0.1003
DZA,2020-01-23,0.1329
DZA,2020-01-24,0.1223
DZA,2020-01-25,0.1094
DZA,2020-01-26,0.10800000000000001
DZA,2020-01-27,0.1118
DZA,2020-01-28,0.1208
DZA,2020-01-29,0.1118
DZA,2020-01-30,0.1243
DZA,2020-01-31,0.1252
DZA,2020-02-01,0.1328
DZA,2020-02-02,0.1231
DZA,2020-02-03,0.1356
DZA,2020-02-04,0.1495
DZA,2020-02-05,0.1442
DZA,2020-02-06,0.1153
DZA,2020-02-07,0.1286
DZA,2020-02-08,0.1333
DZA,2020-02-09,0.0886
DZA,2020-02-10,0.1231
DZA,2020-02-11,0.1093
DZA,2020-02-12,0.0798
DZA,2020-02-13,0.1372
DZA,2020-02-14,0.1414
DZA,2020-02-15,0.1399
DZA,2020-02-16,0.14300000000000002
DZA,2020-02-17,0.1537
DZA,2020-02-18,0.1492
DZA,2020-02-19,0.1518
DZA,2020-02-20,0.152
DZA,2020-02-21,0.146
DZA,2020-02-22,0.14800000000000002
DZA,2020-02-23,0.1551
DZA,2020-02-24,0.1755
DZA,2020-02-25,0.1775
DZA,2020-02-26,0.1785
DZA,2020-02-27,0.1691
DZA,2020-02-28,0.1873
DZA,2020-02-29,0.1893
DZA,2020-03-01,0.17
DZA,2020-03-02,0.1967
DZA,2020-03-03,0.1574
DZA,2020-03-04,0.1809
DZA,2020-03-05,0.2028
DZA,2020-03-06,0.1981
DZA,2020-03-07,0.1226
DZA,2020-03-08,0.1591
DZA,2020-03-09,0.188
DZA,2020-03-10,0.1897
DZA,2020-03-11,0.1762
DZA,2020-03-12,0.1794
DZA,2020-03-13,0.1292
DZA,2020-03-14,0.1252
DZA,2020-03-15,0.0768
DZA,2020-03-16,0.15
DZA,2020-03-17,0.1604
DZA,2020-03-18,0.1619
DZA,2020-03-19,0.2005
DZA,2020-03-20,0.1781
DZA,2020-03-21,0.2059
DZA,2020-03-22,0.1739
DZA,2020-03-23,0.1906
DZA,2020-03-24,0.1159
DZA,2020-03-25,0.1934
DZA,2020-03-26,0.2306
DZA,2020-03-27,0.214
DZA,2020-03-28,0.1968
DZA,2020-03-29,0.2017
DZA,2020-03-30,0.2229
DZA,2020-03-31,0.2086
DZA,2020-04-01,0.2239
DZA,2020-04-02,0.2249
DZA,2020-04-03,0.1893
DZA,2020-04-04,0.1872
DZA,2020-04-05,0.2006
DZA,2020-04-06,0.2409
DZA,2020-04-07,0.2297
DZA,2020-04-08,0.2264
DZA,2020-04-09,0.22640000000000002
DZA,2020-04-10,0.2353
DZA,2020-04-11,0.2441
DZA,2020-04-12,0.2217
DZA,2020-04-13,0.2132
DZA,2020-04-14,0.1427
DZA,2020-04-15,0.205
DZA,2020-04-16,0.2487
DZA,2020-04-17,0.2365
DZA,2020-04-18,0.1885
DZA,2020-04-19,0.0848
ASM,2020-02-01,0.37200000000000005
ASM,2020-02-02,0.2341
ASM,2020-02-03,0.2831
ASM,2020-02-04,0.3222
ASM,2020-02-05,0.2417
ASM,2020-02-06,0.1034
ASM,2020-02-07,0.2494
ASM,2020-02-08,0.2428
ASM,2020-02-09,0.2067
ASM,2020-02-10,0.2321
ASM,2020-02-11,0.2376
ASM,2020-02-12,0.1404
ASM,2020-02-13,0.3052
ASM,2020-02-14,0.1649
ASM,2020-02-15,0.1977
ASM,2020-02-16,0.1442
ASM,2020-02-17,0.0918
ASM,2020-02-18,0.1542
ASM,2020-02-19,0.0866
ASM,2020-02-20,0.2296
ASM,2020-02-21,0.1414
ASM,2020-02-22,0.2187
ASM,2020-02-23,0.1857
ASM,2020-02-24,0.2303
ASM,2020-02-25,0.2202
ASM,2020-02-26,0.3273
ASM,2020-02-27,0.3262
ASM,2020-02-28,0.3262
ASM,2020-02-29,0.3206
ASM,2020-03-01,0.3291
ASM,2020-03-02,0.3428
ASM,2020-03-03,0.2384
ASM,2020-03-04,0.3084
ASM,2020-03-05,0.1775
ASM,2020-03-06,0.3201
ASM,2020-03-07,0.2937
ASM,2020-03-08,0.3032
ASM,2020-03-09,0.3264
ASM,2020-03-10,0.3557
ASM,2020-03-11,0.3522
ASM,2020-03-12,0.231
ASM,2020-03-13,0.3033
ASM,2020-03-14,0.2863
ASM,2020-03-15,0.2906
ASM,2020-03-16,0.3064
ASM,2020-03-17,0.3301
ASM,2020-03-18,0.342
ASM,2020-03-19,0.3129
ASM,2020-03-20,0.1781
ASM,2020-03-21,0.3107
ASM,2020-03-22,0.2939
ASM,2020-03-23,0.2512
ASM,2020-03-24,0.2909
ASM,2020-03-25,0.2903
ASM,2020-03-26,0.3154
ASM,2020-03-27,0.3111
ASM,2020-03-28,0.2549
ASM,2020-03-29,0.2596
ASM,2020-03-30,0.297
ASM,2020-03-31,0.2478
ASM,2020-04-01,0.3131
ASM,2020-04-02,0.3123
ASM,2020-04-03,0.2397
ASM,2020-04-04,0.2401
ASM,2020-04-05,0.2822
ASM,2020-04-06,0.2491
ASM,2020-04-07,0.2814
ASM,2020-04-08,0.1757
ASM,2020-04-09,0.2495
ASM,2020-04-10,0.1933
ASM,2020-04-11,0.1475
ASM,2020-04-12,0.2626
ASM,2020-04-13,0.1974
ASM,2020-04-14,0.205
ASM,2020-04-15,0.2392
ASM,2020-04-16,0.2229
ASM,2020-04-17,0.2688
ASM,2020-04-18,0.23850000000000002
ASM,2020-04-19,0.1529
AND,2019-12-01,0.0426
AND,2019-12-02,0.039
AND,2019-12-03,0.0434
AND,2019-12-04,0.0193
AND,2019-12-05,0.027000000000000003
AND,2019-12-06,0.0367
AND,2019-12-07,0.0413
AND,2019-12-08,0.0467
AND,2019-12-09,0.0194
AND,2019-12-10,0.0424
AND,2019-12-11,0.0252
AND,2019-12-12,0.0343
AND,2019-12-13,0.0237
AND,2019-12-14,0.0369
AND,2019-12-15,0.0401
AND,2019-12-16,0.0391
AND,2019-12-17,0.0236
AND,2019-12-18,0.0338
AND,2019-12-19,0.0234
AND,2019-12-20,0.0122
AND,2019-12-21,0.0251
AND,2019-12-22,0.0332
AND,2019-12-23,0.0423
AND,2019-12-24,0.0432
AND,2019-12-25,0.0416
AND,2019-12-26,0.0345
AND,2019-12-27,0.0339
AND,2019-12-28,0.0344
AND,2019-12-29,0.0364
AND,2019-12-30,0.0369
AND,2019-12-31,0.0387
AND,2020-01-01,0.036000000000000004
AND,2020-01-02,0.0373
AND,2020-01-03,0.0288
AND,2020-01-04,0.0324
AND,2020-01-05,0.0387
AND,2020-01-06,0.0394
AND,2020-01-07,0.034
AND,2020-01-08,0.0368
AND,2020-01-09,0.0406
AND,2020-01-10,0.0285
AND,2020-01-11,0.0447
AND,2020-01-12,0.048
AND,2020-01-13,0.0367
AND,2020-01-14,0.0451
AND,2020-01-15,0.0416
AND,2020-01-16,0.0427
AND,2020-01-17,0.0185
AND,2020-01-18,0.0339
AND,2020-01-19,0.0304
AND,2020-01-20,0.0268
AND,2020-01-21,0.0209
AND,2020-01-22,0.0139
AND,2020-01-23,0.0176
AND,2020-01-24,0.0504
AND,2020-01-25,0.0373
AND,2020-01-26,0.0447
AND,2020-01-27,0.0497
AND,2020-01-28,0.032
AND,2020-01-29,0.0557
AND,2020-01-30,0.0318
AND,2020-01-31,0.06
AND,2020-02-01,0.063
AND,2020-02-02,0.0651
AND,2020-02-03,0.0697
AND,2020-02-04,0.0372
AND,2020-02-05,0.0728
