"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"DNK","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2017",10.35431,
"FIN","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2000",7.13298,
"FIN","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2005",7.13376,
"FIN","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2010",7.28899,
"FIN","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2011",7.39376,
"FIN","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2012",6.71052,
"FIN","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2013",6.3459,
"FIN","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2014",6.57508,
"FIN","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2015",6.08473,
"FIN","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2016",5.94186,
"FIN","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2017",5.90603,
"FRA","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2000",14.78382,
"FRA","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2005",14.78401,
"FRA","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2010",14.84296,
"FRA","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2011",15.09754,
"FRA","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2012",14.00249,
"FRA","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2013",13.69998,
"FRA","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2014",12.56274,
"FRA","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2015",12.82713,
"FRA","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2016",11.9765,
"FRA","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2017",11.95962,
"DEU","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2000",15.05441,
"DEU","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2005",14.57788,
"DEU","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2010",15.38112,
"DEU","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2011",14.9885,
"DEU","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2012",13.77974,
"DEU","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2013",13.34938,
"DEU","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2014",12.95331,
"DEU","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2015",12.97559,
"DEU","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2016",12.08735,
"DEU","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2017",12.08939,
"GRC","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2000",20.00605,
"GRC","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2005",19.39906,
"GRC","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2010",19.13968,
"GRC","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2011",20.05871,
"GRC","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2012",18.60477,
"GRC","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2013",17.75888,
"GRC","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2014",17.5534,
"GRC","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2015",17.60409,
"GRC","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2016",16.36196,
"GRC","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2017",16.47663,
"HUN","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2000",19.25588,
"HUN","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2005",19.6949,
"HUN","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2010",19.50528,
"HUN","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2011",19.71477,
"HUN","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2012",17.75631,
"HUN","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2013",17.38891,
"HUN","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2014",16.50801,
"HUN","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2015",17.39666,
"HUN","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2016",16.06693,
"HUN","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2017",16.08462,
"ISL","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2000",8.37167,
"ISL","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2005",8.32544,
"ISL","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2010",8.21186,
"ISL","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2011",8.45311,
"ISL","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2012",7.73023,
"ISL","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2013",7.57365,
"ISL","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2014",7.20954,
"ISL","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2015",7.21924,
"ISL","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2016",6.80928,
"ISL","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2017",6.78283,
"IRL","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2000",10.10227,
"IRL","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2005",9.99974,
"IRL","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2010",10.01998,
"IRL","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2011",10.30893,
"IRL","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2012",9.57135,
"IRL","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2013",9.45431,
"IRL","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2014",8.79914,
"IRL","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2015",8.73556,
"IRL","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2016",8.27768,
"IRL","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2017",8.27177,
"ITA","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2000",19.69202,
"ITA","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2005",19.41877,
